id,artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,song_popularity,artist_popularity,genres,year
5IbCV9Icebx8rR6wAp5hhP,Original Broadway Cast - The Little Mermaid,Fathoms Below - Broadway Cast Recording,0.763,0.451,0.258,0.0,0.136,-15.947,0.0681,78.62,0.646,2,1,36,0,movie_tunes,2008
6rKVAvjHcxAzZ1BHtwh5yC,Original Broadway Cast - The Little Mermaid,Daughters Of Triton - Broadway Cast Recording,0.756,0.588,0.189,0.0,0.169,-17.737,0.0451,140.467,0.904,0,1,37,0,movie_tunes,2008
6Jlkb1Wh08RYHstWScsTvg,Original Broadway Cast - The Little Mermaid,The World Above - Broadway Cast Recording,0.959,0.281,0.0652,9.75e-06,0.102,-22.218,0.0388,77.442,0.316,6,1,37,0,movie_tunes,2008
0XhC8bfStML9ygBmfOt1JJ,Original Broadway Cast - The Little Mermaid,Human Stuff - Broadway Cast Recording,0.682,0.746,0.3,0.0,0.39,-16.037,0.164,130.248,0.842,8,1,34,0,movie_tunes,2008
0ABxAcsRWlqckkyONsfP67,Original Broadway Cast - The Little Mermaid,I Want the Good Times Back - Broadway Cast Recording,0.732,0.493,0.235,0.0,0.126,-14.847,0.14,81.576,0.455,7,1,36,0,movie_tunes,2008
1iVkEiZS6ijZ76KeMsrXG6,Sierra Boggess as Ariel,Part Of Your World,0.887,0.415,0.0791,0.0,0.0573,-20.023,0.0488,137.314,0.312,7,1,47,36,unknown,2008
0yLjkpa51CN1uiryMDOrtt,Alan Menken,Storm at Sea - Broadway Cast Recording,0.539,0.263,0.174,0.000547,0.123,-18.004,0.0343,163.395,0.175,9,0,32,61,"broadway, movie_tunes, orchestral_soundtrack",2008
2jxJF5RaHcqcUyg3T3FHpW,Original Broadway Cast - The Little Mermaid,Part Of Your World (Reprise) - Broadway Cast Recording,0.865,0.323,0.0261,1.15e-06,0.1,-22.637,0.0435,112.854,0.255,7,0,39,0,movie_tunes,2008
5eHx8TOZ7UIQLtd6aUWKkK,Original Broadway Cast - The Little Mermaid,She's in Love - Broadway Cast Recording,0.554,0.6,0.261,0.0,0.593,-16.888,0.0711,137.821,0.782,0,0,51,0,movie_tunes,2008
0hfFDkS845UKM3BIKXmFBo,Original Broadway Cast - The Little Mermaid,Her Voice - Broadway Cast Recording,0.813,0.31,0.136,0.0,0.115,-17.705,0.0372,134.058,0.212,2,1,38,0,movie_tunes,2008
5q6AzKGeIHmrGReupqYYfr,Original Broadway Cast - The Little Mermaid,The World Above (Reprise) - Broadway Cast Recording,0.827,0.433,0.326,0.0,0.0878,-13.703,0.0457,92.747,0.536,5,0,31,0,movie_tunes,2008
4MimthDKiYVMCqDBJEiw1U,Original Broadway Cast - The Little Mermaid,Under the Sea - Broadway Cast Recording,0.65,0.695,0.42,0.0,0.19,-13.754,0.056,99.146,0.856,2,1,41,0,movie_tunes,2008
2JEQiyNx2BuERPuQG6qNT4,Original Broadway Cast - The Little Mermaid,Under the Sea (Reprise) - Broadway Cast Recording,0.794,0.487,0.381,0.0,0.186,-15.228,0.479,99.834,0.78,3,1,32,0,movie_tunes,2008
4AONRuRx872zyuIK3wyf3P,Original Broadway Cast - The Little Mermaid,Sweet Child - Broadway Cast Recording,0.755,0.493,0.0567,0.0,0.099,-23.52,0.0522,53.361,0.266,4,0,35,0,movie_tunes,2008
5TwMVNl4Uh5XyZILQbID8J,Original Broadway Cast - The Little Mermaid,Poor Unfortunate Souls - Broadway Cast Recording,0.655,0.463,0.189,0.0,0.0886,-16.072,0.115,75.784,0.346,5,0,40,0,movie_tunes,2008
2dcBxm5NKMzEvRpwzRmr0s,Original Broadway Cast - The Little Mermaid,Positoovity - Broadway Cast Recording,0.62,0.772,0.243,0.0,0.2,-16.278,0.347,91.461,0.911,8,1,34,0,movie_tunes,2008
